date,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,targets
2020-04-15,-4.954824997999992,-5.388613179000004,-5.0030236850000165,-5.43681186500001,-6.468263761999992,-6.063394793000015,-5.966997420000013,-6.2465498029999935,-6.265829276999995,-6.545381660999993,-6.2079908530000125,-6.371866388000001,-5.600687399999998,-5.089781321000004,-5.118700533000009,-4.328242070000016,-4.742750776000008,-5.089781321000004,-5.03676276500002,-4.125807586000008,-3.8462552029999983,-3.5088643950000176,-3.181209722999995,-4.1161678480000035,-4.463198392999999,-4.598251113000003,-4.376440757000012,-4.954824997999992,-5.388613179000004,-5.0030236850000165,-5.43681186500001,-6.468263761999992,-6.063394793000015,-5.966997420000013,-6.2465498029999935,-6.265829276999995,-6.545381660999993,-6.2079908530000125,-6.371866388000001,-5.600687399999998,-5.089781321000004,-5.118700533000009,-4.328242070000016,-4.742750776000008,-5.089781321000004,-5.03676276500002,-4.125807586000008,-3.8462552029999983,-3.5088643950000176,-3.181209722999995,-4.1161678480000035,-4.463198392999999,-4.598251113000003,-4.376440757000012,-3.855894940000013,-5.230039499000014,-6.6128598220000185,-6.998449316000006,-6.044115317999996,-5.658525824000009,-5.215097906000011,-4.713927960999996,-4.800589200000019,-5.080141583,-4.549956029000015,-5.533209239000001,-6.41042533800001,-6.458624024000017,-6.294748489,-6.073034530000001,-5.73564372300001,-5.475467212000012,-5.986276894000014,-5.110024769000006,-5.244017118000016,-5.099324660999997,-5.053728703000019,-5.301855541999998,-4.6559931399999925,-4.357161281999993,-3.92337310100001,2.062756374999992,0.8957218179999984,1.252583623999982,-0.08805937900001481,-0.4159864450000157,-0.7728482509999992,-0.551015236000012,-0.46421101300001055,-1.0621956619999935,-0.309892394000002,-0.3581169619999969,-0.3002474799999959,-0.4639216660000045,0.15306346299999518,0.33631682399999363,0.30728563299999223,0.19164311800000178,0.40383121899998287,0.11448380900000643,-0.45456609900000444,-0.367761876000003,-0.49314575400001104,-0.15557377499999347,0.15306346299999518,0.722113371000006,1.5568806510000002,2.6607410240000036,-1.2261591950000081,-1.1680003650000117,-1.0139710939999986,-0.42563135800000396,-0.7921380790000114,-0.21344325699999445,0.4520557879999956,0.3652515649999941,0.5292150969999909,1.2140039699999932,1.0307506089999947,0.6208417769999812,0.7124684579999894,0.8378523359999974,0.4520557879999956,-0.3484720490000086,-0.0977042929999925,-0.030189897000013843,-0.03973836100001904,-0.7824931650000053,-1.6891150520000053,-1.5347964329999968,-2.624671680000006,-2.6536064210000063,-2.4799979750000034,-2.316034442000017,-2.4799979750000034,0
2020-04-16,0.5205458169999986,-0.8535987420000026,-2.236419065000007,-2.622008558999994,-1.6676745609999841,-1.282085066999997,-0.8386571489999994,-0.33748720399998433,-0.4241484430000071,-0.703700825999988,-0.17351527200000305,-1.1567684819999897,-2.0339845809999986,-2.082183267000005,-1.9183077319999882,-1.6965937729999894,-1.359202965999998,-1.0990264550000006,-1.609836137000002,-0.7335840119999943,-0.8675763610000047,-0.7228839039999855,-0.677287946000007,-0.9254147849999868,-0.27955238299998086,0.01927947500001892,0.45306765600000176,0.5205458169999986,-0.8535987420000026,-2.236419065000007,-2.622008558999994,-1.6676745609999841,-1.282085066999997,-0.8386571489999994,-0.33748720399998433,-0.4241484430000071,-0.703700825999988,-0.17351527200000305,-1.1567684819999897,-2.0339845809999986,-2.082183267000005,-1.9183077319999882,-1.6965937729999894,-1.359202965999998,-1.0990264550000006,-1.609836137000002,-0.7335840119999943,-0.8675763610000047,-0.7228839039999855,-0.677287946000007,-0.9254147849999868,-0.27955238299998086,0.01927947500001892,0.45306765600000176,6.439197132000004,5.27216257500001,5.629024380999994,4.288381377999997,3.960454311999996,3.6035925060000125,3.8254255209999997,3.912229744000001,3.314245095000018,4.06654836300001,4.018323795000015,4.076193277000016,3.912519091000007,4.529504220000007,4.712757581000005,4.683726390000004,4.5680838750000134,4.7802719759999945,4.490924566000018,3.9218746580000072,4.008678881000009,3.8832950030000006,4.220866982000018,4.529504220000007,5.098554128000018,5.933321408000012,7.037181781000015,3.1502815620000035,3.208440392,3.362469663000013,3.9508093990000077,3.5843026780000002,4.162997500000017,4.828496545000007,4.741692322000006,4.905655854000003,5.590444727000005,5.407191366000006,4.997282533999993,5.088909215000001,5.214293093000009,4.828496545000007,4.027968708000003,4.278736464000019,4.346250859999998,4.336702395999993,3.5939475920000064,2.6873257050000063,2.841644324000015,1.7517690770000058,1.7228343360000054,1.8964427820000083,2.0604063149999945,1.8964427820000083,-3.562578368000004,-3.7554766419999908,-2.1061964010000054,-2.540217517000002,-1.9808125229999973,-2.7813403589999837,-3.4854190590000087,-4.3148816359999955,-4.671743442999997,-5.356532314999981,-4.39204094599998,-4.221229523999995,-4.575294305999989,-5.132288071999994,-4.228077412999994,-4.150918103999999,-3.5722232819999817,-3.4757741450000026,-4.203965128999982,-3.5722232819999817,-3.1864267340000083,-4.4692002559999935,-4.170207930999993,-3.9580198299999836,-3.437194489999996,-3.379325007999995,-4.218432498999988,1
2020-04-17,5.986129476000002,4.819094919000008,5.175956724999992,3.835313721999995,3.507386655999994,3.1505248500000107,3.372357864999998,3.4591620879999994,2.8611774390000164,3.613480707000008,3.565256139000013,3.623125621000014,3.4594514350000054,4.076436564000005,4.2596899250000035,4.230658734000002,4.115016219000012,4.327204319999993,4.037856910000016,3.4688070020000055,3.555611225000007,3.430227346999999,3.7677993260000164,4.076436564000005,4.645486472000016,5.48025375200001,6.5841141250000135,5.986129476000002,4.819094919000008,5.175956724999992,3.835313721999995,3.507386655999994,3.1505248500000107,3.372357864999998,3.4591620879999994,2.8611774390000164,3.613480707000008,3.565256139000013,3.623125621000014,3.4594514350000054,4.076436564000005,4.2596899250000035,4.230658734000002,4.115016219000012,4.327204319999993,4.037856910000016,3.4688070020000055,3.555611225000007,3.430227346999999,3.7677993260000164,4.076436564000005,4.645486472000016,5.48025375200001,6.5841141250000135,2.6972139060000018,2.755372735999998,2.9094020070000113,3.497741743000006,3.1312350219999985,3.7099298440000155,4.3754288890000055,4.288624666000004,4.452588198000001,5.137377071000003,4.954123710000005,4.544214877999991,4.635841558999999,4.761225437000007,4.3754288890000055,3.5749010520000013,3.8256688080000174,3.893183203999996,3.883634739999991,3.1408799360000046,2.2342580490000046,2.388576668000013,1.298701421000004,1.2697666800000036,1.4433751260000065,1.6073386589999927,1.4433751260000065,-4.015646024000006,-4.2085442979999925,-2.559264057000007,-2.993285173000004,-2.433880178999999,-3.2344080149999854,-3.9384867150000105,-4.767949291999997,-5.124811098999999,-5.809599970999983,-4.845108601999982,-4.674297179999996,-5.028361961999991,-5.585355727999996,-4.681145068999996,-4.6039857600000005,-4.0252909379999835,-3.9288418010000044,-4.657032784999984,-4.0252909379999835,-3.63949439000001,-4.922267911999995,-4.623275586999995,-4.411087485999985,-3.8902621459999978,-3.832392663999997,-4.67150015499999,-1.1414617439999972,-0.9970773860000008,-1.2764905349999935,-1.7490913059999968,-1.5561930329999996,-1.2186210529999926,-1.9517309430000012,-1.575482859999994,-1.37776212899999,-0.8454593419999981,-0.9390150049999875,-1.0256263299999944,-0.736375369000001,-0.8038897639999902,-1.247555793999993,-1.093333623999996,-0.736375369000001,-0.8906939880000095,-0.8231795920000025,-0.9099838150000039,-0.8906939880000095,-0.398803388999994,-0.20108265900000788,-0.12874580599998353,-0.09981106499998305,0.266502757000012,-0.6881507999999883,1
2020-04-20,-3.8869002190000117,-3.8287413890000153,-3.674712118000002,-3.0863723820000075,-3.452879103000015,-2.874184280999998,-2.208685236000008,-2.2954894590000094,-2.1315259270000126,-1.4467370540000104,-1.6299904150000089,-2.0398992470000223,-1.9482725660000142,-1.8228886880000061,-2.208685236000008,-3.009213073000012,-2.758445316999996,-2.6909309210000174,-2.7004793850000226,-3.443234189000009,-4.349856076000009,-4.195537457,-5.285412704000009,-5.31434744500001,-5.140738999000007,-4.976775466000021,-5.140738999000007,-3.8869002190000117,-3.8287413890000153,-3.674712118000002,-3.0863723820000075,-3.452879103000015,-2.874184280999998,-2.208685236000008,-2.2954894590000094,-2.1315259270000126,-1.4467370540000104,-1.6299904150000089,-2.0398992470000223,-1.9482725660000142,-1.8228886880000061,-2.208685236000008,-3.009213073000012,-2.758445316999996,-2.6909309210000174,-2.7004793850000226,-3.443234189000009,-4.349856076000009,-4.195537457,-5.285412704000009,-5.31434744500001,-5.140738999000007,-4.976775466000021,-5.140738999000007,-10.59976014900002,-10.792658423000006,-9.14337818200002,-9.577399298000017,-9.017994304000013,-9.818522139999999,-10.522600840000024,-11.35206341700001,-11.708925224000012,-12.393714095999997,-11.429222726999996,-11.25841130500001,-11.612476087000005,-12.16946985300001,-11.26525919400001,-11.188099885000014,-10.609405062999997,-10.512955926000018,-11.241146909999998,-10.609405062999997,-10.223608515000024,-11.506382037000009,-11.207389712000008,-10.995201610999999,-10.474376271000011,-10.41650678900001,-11.255614280000003,-7.725575869000011,-7.581191511000014,-7.860604660000007,-8.33320543100001,-8.140307158000013,-7.802735178000006,-8.535845068000015,-8.159596985000007,-7.961876254000003,-7.4295734670000115,-7.523129130000001,-7.609740455000008,-7.3204894940000145,-7.388003889000004,-7.8316699190000065,-7.6774477490000095,-7.3204894940000145,-7.474808113000023,-7.407293717000016,-7.494097940000017,-7.474808113000023,-6.9829175140000075,-6.785196784000021,-6.712859930999997,-6.6839251899999965,-6.3176113680000014,-7.272264925000002,-6.635700621000012,-5.5293325720000155,-5.912332094000021,-5.449376236999996,-4.668138228000004,-3.452879103000015,-3.9351247870000066,-4.243762025000024,-3.818324882000013,-4.619913659000019,-4.504174695000017,-4.263051853000007,-3.9254798740000183,-4.089443406000015,-5.526535547000009,-4.812811933000006,-6.0999256660000185,-6.462092175000009,-6.346353211000007,-6.548896398000011,-5.815882957000014,-5.632629597000005,-5.1118042580000065,-6.047360886000007,-6.278838815,-6.085940541000014,-6.645345535000018,0
2020-04-21,-5.459021150000012,-5.651919423999999,-4.002639183000014,-4.43666029900001,-3.8772553050000056,-4.677783140999992,-5.381861841000017,-6.211324418000004,-6.568186225000005,-7.2529750969999895,-6.288483727999989,-6.117672306000003,-6.471737087999998,-7.028730854000003,-6.124520195000002,-6.047360886000007,-5.46866606399999,-5.372216927000011,-6.100407910999991,-5.46866606399999,-5.082869516000017,-6.365643038000002,-6.066650713000001,-5.854462611999992,-5.333637272000004,-5.275767790000003,-6.114875280999996,-5.459021150000012,-5.651919423999999,-4.002639183000014,-4.43666029900001,-3.8772553050000056,-4.677783140999992,-5.381861841000017,-6.211324418000004,-6.568186225000005,-7.2529750969999895,-6.288483727999989,-6.117672306000003,-6.471737087999998,-7.028730854000003,-6.124520195000002,-6.047360886000007,-5.46866606399999,-5.372216927000011,-6.100407910999991,-5.46866606399999,-5.082869516000017,-6.365643038000002,-6.066650713000001,-5.854462611999992,-5.333637272000004,-5.275767790000003,-6.114875280999996,-2.5848368700000037,-2.4404525120000073,-2.719865661,-3.1924664320000034,-2.999568159000006,-2.661996178999999,-3.3951060690000077,-3.0188579860000004,-2.8211372549999965,-2.2888344680000046,-2.382390130999994,-2.469001456000001,-2.1797504950000075,-2.2472648899999967,-2.6909309199999996,-2.5367087500000025,-2.1797504950000075,-2.334069114000016,-2.266554718000009,-2.3533589410000104,-2.334069114000016,-1.8421785150000005,-1.6444577850000144,-1.57212093199999,-1.5431861909999895,-1.1768723689999945,-2.131525925999995,-1.4949616220000053,-0.3885935730000085,-0.7715930950000143,-0.30863723799998866,0.4726007710000033,1.687859895999992,1.2056142120000004,0.8969769739999833,1.322414116999994,0.5208253399999876,0.6365643039999895,0.8776871459999995,1.2152591249999887,1.0512955929999919,-0.38579654800000185,0.3279270660000009,-0.9591866670000115,-1.3213531760000023,-1.2056142120000004,-1.4081573990000038,-0.6751439580000067,-0.4918905979999977,0.028934741000000486,-0.906621887,-1.1380998159999933,-0.9452015420000066,-1.5046065360000114,-0.37615163399999574,-1.032005765000008,-1.784405482000011,-1.6396353279999971,-1.7939539470000057,-1.4081573990000038,-1.8807581700000071,-2.546257214999997,-2.1218810119999887,-2.208685236000008,-2.1218810119999887,-1.8323407029999998,-1.755374291999999,-1.3309980900000085,-1.5431861909999895,-1.7746641189999934,-1.5624760180000123,-1.0995201610000152,-0.56258781599999,-0.36669961900000203,-0.5111804260000099,-0.11573896400000194,0.08198176599998419,0.06751439600000708,0.5786948219999886,1.089875247000009,0.6847888719999844,1
2020-04-22,3.5300384109999925,3.674422768999989,3.395009619999996,2.922408848999993,3.11530712199999,3.452879101999997,2.7197692119999886,3.096017294999996,3.2937380259999998,3.8260408129999917,3.7324851500000022,3.6458738249999953,3.9351247859999887,3.8676103909999995,3.4239443609999967,3.5781665309999937,3.9351247859999887,3.78080616699998,3.8483205629999873,3.761516339999986,3.78080616699998,4.272696765999996,4.470417495999982,4.542754349000006,4.571689090000007,4.938002912000002,3.9833493550000014,3.5300384109999925,3.674422768999989,3.395009619999996,2.922408848999993,3.11530712199999,3.452879101999997,2.7197692119999886,3.096017294999996,3.2937380259999998,3.8260408129999917,3.7324851500000022,3.6458738249999953,3.9351247859999887,3.8676103909999995,3.4239443609999967,3.5781665309999937,3.9351247859999887,3.78080616699998,3.8483205629999873,3.761516339999986,3.78080616699998,4.272696765999996,4.470417495999982,4.542754349000006,4.571689090000007,4.938002912000002,3.9833493550000014,4.619913658999991,5.726281707999988,5.343282185999982,5.806238043000008,6.5874760519999995,7.802735176999988,7.320489492999997,7.0118522549999796,7.43728939799999,6.635700620999984,6.751439584999986,6.992562426999996,7.330134405999985,7.166170873999988,5.729078732999994,6.442802346999997,5.155688613999985,4.793522104999994,4.909261068999996,4.706717881999992,5.4397313229999895,5.6229846829999985,6.143810021999997,5.208253393999996,4.976775465000003,5.16967373899999,4.610268744999985,5.7387236470000005,5.082869515999988,4.330469798999985,4.475239952999999,4.320921333999991,4.706717881999992,4.234117110999989,3.568618065999999,3.9929942690000075,3.9061900449999882,3.9929942690000075,4.282534577999996,4.359500988999997,4.783877190999988,4.571689090000007,4.340211162000003,4.552399262999984,5.015355119999981,5.552287465000006,5.748175661999994,5.603694854999986,5.999136316999994,6.19685704699998,6.182389677000003,6.693570102999985,7.204750528000005,6.799664152999981,8.323560517000004,7.812380090999994,8.410364740000006,8.353266851,8.863675683999986,9.153023093999991,9.12408835299999,9.191602748999998,9.519529814999999,9.905326363,9.692173769999982,9.442370504999985,9.452015418999991,9.615978952000006,9.664203520000001,9.519529814999999,9.36521119599999,9.278406971999999,9.471305245999986,9.914971275999989,9.914971275999989,10.136804291000004,10.280513504999988,10.609405062000008,10.488457843999981,10.927687214000002,10.416506787999992,1
2020-04-23,0.6365643039999895,1.7429323529999863,1.3599328309999805,1.8228886880000061,2.604126696999998,3.8193858219999868,3.337140137999995,3.028502899999978,3.4539400429999887,2.6523512659999824,2.7680902299999843,3.0092130719999943,3.3467850509999835,3.1828215189999867,1.745729377999993,2.4594529919999957,1.1723392589999833,0.8101727499999924,0.9259117139999944,0.723368526999991,1.456381967999988,1.6396353279999971,2.1604606669999953,1.2249040389999948,0.9934261100000015,1.1863243839999882,0.6269193899999834,0.6365643039999895,1.7429323529999863,1.3599328309999805,1.8228886880000061,2.604126696999998,3.8193858219999868,3.337140137999995,3.028502899999978,3.4539400429999887,2.6523512659999824,2.7680902299999843,3.0092130719999943,3.3467850509999835,3.1828215189999867,1.745729377999993,2.4594529919999957,1.1723392589999833,0.8101727499999924,0.9259117139999944,0.723368526999991,1.456381967999988,1.6396353279999971,2.1604606669999953,1.2249040389999948,0.9934261100000015,1.1863243839999882,0.6269193899999834,1.755374291999999,1.0995201609999867,0.34712044399998376,0.4918905979999977,0.33757197899998914,0.723368526999991,0.2507677559999877,-0.41473128900000233,0.00964491400000611,-0.07715931000001319,0.00964491400000611,0.29918522299999495,0.37615163399999574,0.8005278359999863,0.5883397350000052,0.35686180700000136,0.5690499079999825,1.0320057649999796,1.5689381100000048,1.7648263069999928,1.620345499999985,2.015786961999993,2.213507691999979,2.199040322000002,2.7102207479999834,3.221401173000004,2.816314797999979,4.340211162000003,3.829030735999993,4.427015385000004,4.369917495999999,4.880326328999985,5.16967373899999,5.140738997999989,5.208253393999996,5.536180459999997,5.921977007999999,5.708824414999981,5.459021149999984,5.46866606399999,5.632629597000005,5.6808541649999995,5.536180459999997,5.3818618409999885,5.295057616999998,5.487955890999984,5.931621920999987,5.931621920999987,6.153454936000003,6.297164149999986,6.626055707000006,6.50510848899998,6.944337859000001,6.433157432999991,9.857101793999988,9.500239988000004,8.48752404999999,8.506813876999985,8.12101733,6.944337859000001,5.632629597000005,6.505494285999987,6.896016841000005,6.963627685999995,6.4909304659999805,6.683925188999979,6.143713572999985,6.481382002000004,6.992562427999985,6.828598894999999,7.060076823000003,7.349424233999997,6.886468377,7.388003889000004,7.3108445789999905,6.973272600000001,6.67428027599999,7.125372889000005,7.190476056999984,7.089011564000003,6.085940539999996,1
2020-04-24,1.1284549020000156,0.4726007710000033,-0.27979894599999966,-0.13502879199998574,-0.2893474109999943,0.09644913700000757,-0.37615163399999574,-1.0416506789999858,-0.6172744759999773,-0.7040786999999966,-0.6172744759999773,-0.3277341669999885,-0.2507677559999877,0.17360844600000291,-0.038579654999978175,-0.27005758299998206,-0.05786948200000097,0.4050863749999962,0.9420187200000214,1.1379069170000093,0.9934261100000015,1.3888675720000094,1.5865883019999956,1.5721209320000185,2.083301358,2.5944817830000204,2.1893954079999958,1.1284549020000156,0.4726007710000033,-0.27979894599999966,-0.13502879199998574,-0.2893474109999943,0.09644913700000757,-0.37615163399999574,-1.0416506789999858,-0.6172744759999773,-0.7040786999999966,-0.6172744759999773,-0.3277341669999885,-0.2507677559999877,0.17360844600000291,-0.038579654999978175,-0.27005758299998206,-0.05786948200000097,0.4050863749999962,0.9420187200000214,1.1379069170000093,0.9934261100000015,1.3888675720000094,1.5865883019999956,1.5721209320000185,2.083301358,2.5944817830000204,2.1893954079999958,3.7132917720000194,3.2021113460000095,3.800095995000021,3.742998106000016,4.253406939000001,4.542754349000006,4.513819608000006,4.581334004000013,4.909261070000014,5.2950576180000155,5.0819050249999975,4.8321017600000005,4.841746674000007,5.005710207000021,5.053934775000016,4.909261070000014,4.754942451000005,4.668138227000014,4.861036501000001,5.304702531000004,5.304702531000004,5.526535546000019,5.670244760000003,5.999136317000023,5.8781890989999965,6.3174184690000175,5.806238043000008,9.230182404000004,8.87332059800002,7.860604660000007,7.879894487000001,7.494097940000017,6.3174184690000175,5.005710207000021,5.8785748960000035,6.269097451000022,6.336708296000012,5.864011075999997,6.057005798999995,5.516794183000002,5.85446261200002,6.365643038000002,6.2016795050000155,6.433157433000019,6.722504844000014,6.2595489870000165,6.76108449900002,6.683925189000007,6.346353210000018,6.047360886000007,6.498453499000021,6.563556667,6.46209217400002,5.459021150000012,9.799232312000015,9.321809085000012,9.890858992000005,9.027542768000018,9.673751984999996,9.992130586000002,10.165739033000023,10.11751446400001,10.484021185000017,10.156094119000016,10.667274544999998,10.65762963100002,10.65762963100002,11.245969365999997,11.178454971000008,11.660700655,11.313483762000004,10.744433854000022,10.725144026999999,10.271833083000018,10.792658423000006,11.155789423000016,11.149520229000018,11.438867640000012,11.419577813000018,11.438867640000012,10.65762963100002,1
2020-04-27,1.5238963640000236,1.0127159380000137,1.610700587000025,1.5536026980000202,2.0640115310000056,2.3533589410000104,2.32442420000001,2.391938596000017,2.719865662000018,3.1056622100000197,2.8925096170000018,2.6427063520000047,2.652351266000011,2.8163147990000255,2.8645393670000203,2.719865662000018,2.5655470430000094,2.4787428190000185,2.671641093000005,3.115307123000008,3.115307123000008,3.3371401380000236,3.480849352000007,3.809740909000027,3.6887936910000008,4.128023061000022,3.616842635000012,1.5238963640000236,1.0127159380000137,1.610700587000025,1.5536026980000202,2.0640115310000056,2.3533589410000104,2.32442420000001,2.391938596000017,2.719865662000018,3.1056622100000197,2.8925096170000018,2.6427063520000047,2.652351266000011,2.8163147990000255,2.8645393670000203,2.719865662000018,2.5655470430000094,2.4787428190000185,2.671641093000005,3.115307123000008,3.115307123000008,3.3371401380000236,3.480849352000007,3.809740909000027,3.6887936910000008,4.128023061000022,3.616842635000012,7.0407869960000085,6.683925190000025,5.671209252000011,5.690499079000006,5.304702532000022,4.128023061000022,2.8163147990000255,3.6891794880000077,4.079702043000026,4.147312888000016,3.6746156680000013,3.8676103909999995,3.327398775000006,3.6650672040000245,4.176247630000006,4.01228409700002,4.243762025000024,4.533109436000018,4.070153579000021,4.5716890910000245,4.494529781000011,4.156957802000022,3.857965478000011,4.309058091000026,4.3741612590000045,4.272696766000024,3.2696257420000165,7.609836904000019,7.132413677000017,7.70146358400001,6.838147360000022,7.484356577,7.802735178000006,7.976343625000027,7.928119056000014,8.294625777000022,7.966698711000021,8.477879137000002,8.468234223000024,8.468234223000024,9.056573958000001,8.989059563000012,9.471305247000004,9.124088354000008,8.555038446000026,8.535748619000003,8.082437675000023,8.60326301500001,8.96639401500002,8.960124821000022,9.249472232000016,9.230182405000022,9.249472232000016,8.468234223000024,6.220969332999999,5.3529271000000165,6.192034591000009,6.548896398000011,6.790019240000021,5.9605566630000055,6.160302825000002,6.298128642000023,5.796593130000019,5.786948216000013,4.957485639000026,4.889971243000019,4.484884868000023,4.64884840000002,5.121449171000023,5.3529271000000165,5.121449171000023,4.786963565000008,4.610268746000003,5.179318654000014,5.102159344,4.793522106000012,4.793522106000012,5.256477963000009,5.741810020000003,5.3529271000000165,5.970201576000022,0
2020-04-28,3.4239443609999967,3.067082555000013,2.0543666169999995,2.073656443999994,1.6878598970000098,0.5111804260000099,-0.8005278359999863,0.07233685299999593,0.4628594080000141,0.5304702530000043,0.05777303299998948,0.2507677559999877,-0.28944386000000577,0.04822456900001271,0.5594049949999942,0.39544146200000796,0.6269193900000118,0.9162668010000061,0.45331094400000893,0.9548464560000127,0.8776871459999995,0.5401151670000104,0.24112284299999942,0.6922154560000138,0.7573186239999927,0.6558541310000123,-0.34721689299999525,3.4239443609999967,3.067082555000013,2.0543666169999995,2.073656443999994,1.6878598970000098,0.5111804260000099,-0.8005278359999863,0.07233685299999593,0.4628594080000141,0.5304702530000043,0.05777303299998948,0.2507677559999877,-0.28944386000000577,0.04822456900001271,0.5594049949999942,0.39544146200000796,0.6269193900000118,0.9162668010000061,0.45331094400000893,0.9548464560000127,0.8776871459999995,0.5401151670000104,0.24112284299999942,0.6922154560000138,0.7573186239999927,0.6558541310000123,-0.34721689299999525,3.9929942690000075,3.515571042000005,4.084620948999998,3.22130472500001,3.867513941999988,4.185892542999994,4.359500990000015,4.311276421000002,4.67778314200001,4.349856076000009,4.86103650199999,4.851391588000013,4.851391588000013,5.4397313229999895,5.372216928,5.854462611999992,5.507245718999997,4.938195811000014,4.918905983999991,4.465595040000011,4.986420379999998,5.349551380000008,5.34328218600001,5.632629597000005,5.61333977000001,5.632629597000005,4.851391588000013,2.6041266979999875,1.7360844650000047,2.5751919559999976,2.932053762999999,3.173176605000009,2.3437140279999937,2.5434601899999905,2.6812860070000113,2.1797504950000075,2.1701055810000014,1.3406430040000146,1.2731286080000075,0.8680422330000113,1.032005765000008,1.5046065360000114,1.7360844650000047,1.5046065360000114,1.170120929999996,0.9934261109999909,1.5624760190000018,1.4853167089999886,1.176679471,1.176679471,1.6396353279999971,2.124967384999991,1.7360844650000047,2.3533589410000104,-1.871113256000001,-2.372648768000005,-2.3051343719999977,-2.266554718000009,-2.1797504939999897,-1.7939539470000057,-1.928982738000002,-2.092946270999988,-2.8356046259999914,-3.0188579860000004,-3.6573512719999997,-3.316307123999991,-3.626487548,-4.120307128999997,-3.751871426000008,-3.838675649999999,-3.9061900449999882,-4.118378146999987,-4.176247628999988,-4.372328723999999,-3.6650672030000067,-3.8579654769999934,-3.8097409089999985,-3.443234187999991,-3.8193858219999868,-4.128023060000004,-3.9929942690000075,0
