ticker,date,adj_close,dividend
MBB,2007-03-16,66.1812003954,0.0
MBB,2007-03-19,66.1812003954,0.0
MBB,2007-03-20,66.2599406695,0.0
MBB,2007-03-21,66.3452426331,0.0
MBB,2007-03-22,66.25337898,0.0
MBB,2007-03-23,66.2599406695,0.0
MBB,2007-03-26,66.266502359,0.0
MBB,2007-03-27,66.2336939115,0.0
MBB,2007-03-28,66.227132222,0.0
MBB,2007-03-29,66.1418302583,0.0
MBB,2007-03-30,66.1746387059,0.0
MBB,2007-04-02,66.2305068989,0.2351
MBB,2007-04-03,66.2305068989,0.0
MBB,2007-04-04,66.2305068989,0.0
MBB,2007-04-05,66.2633919569,0.0
MBB,2007-04-09,66.2107758641,0.0
MBB,2007-04-10,66.2502379337,0.0
MBB,2007-04-11,66.1318517247,0.0
MBB,2007-04-12,66.1055436783,0.0
MBB,2007-04-13,66.026619539,0.0
MBB,2007-04-16,66.1647367828,0.0
MBB,2007-04-17,66.296277015,0.0
MBB,2007-04-18,66.3686241427,0.0
MBB,2007-04-19,66.4080862123,0.0
MBB,2007-04-20,66.2633919569,0.0
MBB,2007-04-23,66.4212402355,0.0
MBB,2007-04-24,66.4870103516,0.0
MBB,2007-04-25,66.4672793168,0.0
MBB,2007-04-26,66.3817781659,0.0
MBB,2007-04-27,66.3488931078,0.0
MBB,2007-04-30,66.48043334,0.0
MBB,2007-05-01,66.4889124234,0.4429
MBB,2007-05-02,66.5021243285,0.0
MBB,2007-05-03,66.4228528979,0.0
MBB,2007-05-04,66.5880017116,0.0
MBB,2007-05-07,66.5880017116,0.0
MBB,2007-05-08,66.6540612371,0.0
MBB,2007-05-09,66.4757005183,0.0
MBB,2007-05-10,66.5946076642,0.0
MBB,2007-05-11,66.5285481387,0.0
MBB,2007-05-14,66.4889124234,0.0
MBB,2007-05-15,66.4889124234,0.0
MBB,2007-05-16,66.5219421861,0.0
MBB,2007-05-17,66.3898231351,0.0
MBB,2007-05-18,65.9141945515,0.0
MBB,2007-05-21,66.2577040841,0.0
MBB,2007-05-22,66.2180683688,0.0
MBB,2007-05-23,66.1586147958,0.0
MBB,2007-05-24,66.1586147958,0.0
MBB,2007-05-25,66.1255850331,0.0
MBB,2007-05-29,66.1189790805,0.0
MBB,2007-05-30,66.1520088433,0.0
MBB,2007-05-31,66.0727374127,0.0
MBB,2007-06-01,65.931213467,0.4558
MBB,2007-06-04,65.9710310091,0.0
MBB,2007-06-05,65.8714871539,0.0
MBB,2007-06-06,65.8250333547,0.0
MBB,2007-06-07,65.4268579337,0.0
MBB,2007-06-08,65.5861281021,0.0
MBB,2007-06-11,65.3538591065,0.0
MBB,2007-06-12,64.9490474284,0.0
MBB,2007-06-13,65.1282263679,0.0
MBB,2007-06-14,65.1215901109,0.0
MBB,2007-06-15,65.3206778214,0.0
MBB,2007-06-18,65.393610286,0.0
MBB,2007-06-19,65.6856719574,0.0
MBB,2007-06-20,65.4799479898,0.0
MBB,2007-06-21,65.3472228495,0.0
MBB,2007-06-22,65.4003129056,0.0
MBB,2007-06-25,65.5662193311,0.0
MBB,2007-06-26,65.5728555881,0.0
MBB,2007-06-27,65.6126731302,0.0
MBB,2007-06-28,65.5064930179,0.0
MBB,2007-06-29,65.6193093872,0.0
MBB,2007-07-02,65.8218127792,0.3951
MBB,2007-07-03,65.775173171,0.0
MBB,2007-07-05,65.54197513,0.0
MBB,2007-07-06,65.4020563054,0.0
MBB,2007-07-09,65.4486959136,0.0
MBB,2007-07-10,65.6752311534,0.0
MBB,2007-07-11,65.6685683522,0.0
MBB,2007-07-12,65.5686263347,0.0
MBB,2007-07-13,65.5220533545,0.0
MBB,2007-07-16,65.6885567558,0.0
MBB,2007-07-17,65.6352543464,0.0
MBB,2007-07-18,65.7285335628,0.0
MBB,2007-07-19,65.7618475687,0.0
MBB,2007-07-20,65.928417598,0.0
MBB,2007-07-23,65.9217547968,0.0
MBB,2007-07-24,65.9150919956,0.0
MBB,2007-07-25,65.9217547968,0.0
MBB,2007-07-26,66.1815374145,0.0
MBB,2007-07-27,66.0816620249,0.0
MBB,2007-07-30,66.0416852179,0.0
MBB,2007-07-31,66.0749992237,0.0
MBB,2007-08-01,66.2187011869,0.4357
MBB,2007-08-02,66.2454697371,0.0
MBB,2007-08-03,66.493078827,0.0
MBB,2007-08-06,66.3726203508,0.0
MBB,2007-08-07,66.493078827,0.0
MBB,2007-08-08,66.2655461498,0.0
MBB,2007-08-09,66.4060810386,0.0
MBB,2007-08-10,66.3525439381,0.0
MBB,2007-08-13,66.339159663,0.0
MBB,2007-08-14,66.3926967635,0.0
MBB,2007-08-15,66.1517798112,0.0
MBB,2007-08-16,66.4328495889,0.0
MBB,2007-08-17,66.5800766153,0.0
MBB,2007-08-20,66.6536901285,0.0
MBB,2007-08-21,66.7875998011,0.0
MBB,2007-08-22,66.7273036417,0.0
MBB,2007-08-23,66.81430143,0.0
MBB,2007-08-24,66.874530668,0.0
MBB,2007-08-27,67.1154476203,0.0
MBB,2007-08-28,67.135524033,0.0
MBB,2007-08-29,67.0485262447,0.0
MBB,2007-08-30,67.0686026574,0.0
MBB,2007-08-31,67.1890611335,0.0
MBB,2007-09-04,66.9390522431,0.3964
MBB,2007-09-05,67.1271776534,0.0
MBB,2007-09-06,67.1809277707,0.0
MBB,2007-09-07,67.698272649,0.0
MBB,2007-09-10,67.8057728835,0.0
MBB,2007-09-11,67.6512412964,0.0
MBB,2007-09-12,67.543741062,0.0
MBB,2007-09-13,67.4093657689,0.0
MBB,2007-09-14,67.4765534154,0.0
MBB,2007-09-17,67.5303035327,0.0
MBB,2007-09-18,67.6109287085,0.0
MBB,2007-09-19,67.6848351197,0.0
MBB,2007-09-20,67.2011512523,0.0
MBB,2007-09-21,67.3556156517,0.0
MBB,2007-09-24,67.3085842991,0.0
MBB,2007-09-25,67.348896887,0.0
MBB,2007-09-26,67.3287405931,0.0
MBB,2007-09-27,67.4967097094,0.0
MBB,2007-09-28,67.4563971215,0.0
MBB,2007-10-01,67.6468774588,0.3935
MBB,2007-10-02,67.6536225857,0.0
MBB,2007-10-03,67.5861713169,0.0
MBB,2007-10-04,67.6806030932,0.0
MBB,2007-10-05,67.3973077643,0.0
MBB,2007-10-08,67.5187200481,0.0
MBB,2007-10-09,67.4512687793,0.0
MBB,2007-10-10,67.4647590331,0.0
MBB,2007-10-11,67.5322103019,0.0
MBB,2007-10-12,67.4445236524,0.0
MBB,2007-10-15,67.4917395406,0.0
MBB,2007-10-16,67.5467123246,0.0
MBB,2007-10-17,67.6536225857,0.0
MBB,2007-10-18,67.7682897426,0.0
MBB,2007-10-19,68.1527619746,0.0
MBB,2007-10-22,68.1055460865,0.0
MBB,2007-10-23,68.1527619746,0.0
MBB,2007-10-24,68.3146450197,0.0
MBB,2007-10-25,68.3753511616,0.0
MBB,2007-10-26,68.2809193853,0.0
MBB,2007-10-29,68.3011547659,0.0
MBB,2007-10-30,68.3483706541,0.0
MBB,2007-10-31,68.2202132434,0.0
MBB,2007-11-01,68.4094821781,0.4106
MBB,2007-11-02,68.4974575443,0.0
MBB,2007-11-05,68.1927607219,0.0
MBB,2007-11-06,67.9489490836,0.0
MBB,2007-11-07,67.9828118111,0.0
MBB,2007-11-08,68.0370599006,0.0
MBB,2007-11-09,68.253645906,0.0
MBB,2007-11-12,68.3891645416,0.0
MBB,2007-11-13,68.3552340886,0.0
MBB,2007-11-14,68.3620743596,0.0
MBB,2007-11-15,68.5381605428,0.0
MBB,2007-11-16,68.4433449057,0.0
MBB,2007-11-19,68.6194310889,0.0
MBB,2007-11-20,68.4365723601,0.0
MBB,2007-11-21,68.6668389074,0.0
MBB,2007-11-23,68.8429250906,0.0
MBB,2007-11-26,69.140917093,0.0
MBB,2007-11-27,68.8293799996,0.0
MBB,2007-11-28,68.9580583643,0.0
MBB,2007-11-29,69.2221876391,0.0
MBB,2007-11-30,69.2831405487,0.0
MBB,2007-12-03,69.4504596717,0.3871
MBB,2007-12-04,69.5184417192,0.0
MBB,2007-12-05,69.4096704433,0.0
MBB,2007-12-06,69.1309440487,0.0
MBB,2007-12-07,68.8250248352,0.0
MBB,2007-12-10,68.7706391973,0.0
MBB,2007-12-11,69.1559614422,0.0
MBB,2007-12-12,69.1377422535,0.0
MBB,2007-12-13,68.8454194494,0.0
MBB,2007-12-14,68.7910338115,0.0
MBB,2007-12-17,68.8726122684,0.0
MBB,2007-12-18,69.0080325069,0.0
MBB,2007-12-19,69.3212937816,0.0
MBB,2007-12-20,69.2329171199,0.0
MBB,2007-12-21,68.9813835443,0.0
MBB,2007-12-24,68.7842356067,0.0
MBB,2007-12-26,68.6890607403,0.0
MBB,2007-12-27,68.9377948152,0.4059
MBB,2007-12-28,69.4087559877,0.0
MBB,2007-12-31,69.4838367543,0.0
MBB,2008-01-02,69.8797171602,0.0
MBB,2008-01-03,69.9138447813,0.0
MBB,2008-01-04,69.9752744995,0.0
MBB,2008-01-07,70.2209933721,0.0
MBB,2008-01-08,70.0981339358,0.0
MBB,2008-01-09,70.159563654,0.0
MBB,2008-01-10,70.0298786934,0.0
MBB,2008-01-11,70.3984570023,0.0
MBB,2008-01-14,70.3643293811,0.0
MBB,2008-01-15,70.6100482537,0.0
MBB,2008-01-16,70.275597566,0.0
MBB,2008-01-17,70.5554440598,0.0
MBB,2008-01-18,70.4394101478,0.0
MBB,2008-01-22,70.8694181748,0.0
MBB,2008-01-23,70.73290769,0.0
MBB,2008-01-24,70.3233762357,0.0
MBB,2008-01-25,70.5622695841,0.0
MBB,2008-01-28,70.5690951083,0.0
MBB,2008-01-29,70.5144909144,0.0
MBB,2008-01-30,70.5213164386,0.0
MBB,2008-01-31,70.6851290204,0.0
MBB,2008-02-01,70.7043838242,0.3782
MBB,2008-02-04,70.5673731008,0.0
MBB,2008-02-05,70.772889186,0.0
MBB,2008-02-06,70.6701311434,0.0
MBB,2008-02-07,70.3413054072,0.0
MBB,2008-02-08,70.574223637,0.0
MBB,2008-02-11,70.5947752455,0.0
MBB,2008-02-12,70.4537912111,0.0
MBB,2008-02-13,70.2796505816,0.0
MBB,2008-02-14,69.9234227007,0.0
MBB,2008-02-15,69.9508248454,0.0
MBB,2008-02-19,69.3411271262,0.0
MBB,2008-02-20,69.4233335602,0.0
MBB,2008-02-21,69.8275151943,0.0
MBB,2008-02-22,69.532942139,0.0
MBB,2008-02-25,69.2383690836,0.0
MBB,2008-02-26,69.4507357049,0.0
MBB,2008-02-27,69.8001130496,0.0
MBB,2008-02-28,70.2796505816,0.0
MBB,2008-02-29,70.615326854,0.0
MBB,2008-03-03,70.3540686411,0.2886
MBB,2008-03-04,69.9047808675,0.0
MBB,2008-03-05,69.2480238163,0.0
MBB,2008-03-06,69.0900174127,0.0
MBB,2008-03-07,69.5571667797,0.0
MBB,2008-03-10,69.7426525578,0.0
MBB,2008-03-11,69.701433496,0.0
MBB,2008-03-12,70.4845956701,0.0
MBB,2008-03-13,70.2084279561,0.0
MBB,2008-03-14,70.450246452,0.0
MBB,2008-03-17,71.2127990952,0.0
MBB,2008-03-18,70.8899164444,0.0
MBB,2008-03-19,71.1715800334,0.0
MBB,2008-03-20,71.123491128,0.0
MBB,2008-03-24,70.5739036374,0.0
MBB,2008-03-25,70.6975608227,0.0
MBB,2008-03-26,70.7593894154,0.0
MBB,2008-03-27,70.6494719173,0.0
MBB,2008-03-28,70.8899164444,0.0
MBB,2008-03-31,70.9792244117,0.0
MBB,2008-04-01,70.7144977352,0.3247
MBB,2008-04-02,70.5146419284,0.0
MBB,2008-04-03,70.7834135307,0.0
MBB,2008-04-04,71.190016724,0.0
MBB,2008-04-07,70.9901609171,0.0
MBB,2008-04-08,70.9694861785,0.0
MBB,2008-04-09,71.0935346103,0.0
MBB,2008-04-10,71.052185133,0.0
MBB,2008-04-11,71.2106914626,0.0
MBB,2008-04-14,71.038401974,0.0
MBB,2008-04-15,70.7282808943,0.0
MBB,2008-04-16,70.3652324838,0.0
MBB,2008-04-17,70.4181598147,0.0
MBB,2008-04-18,70.5628829852,0.0
MBB,2008-04-21,70.7765219512,0.0
MBB,2008-04-22,70.9281367012,0.0
MBB,2008-04-23,70.7834135307,0.0
