ticker,date,adj_close,dividend
NEAR,2013-09-26,44.5853068656,0.0
NEAR,2013-09-27,44.5853068656,0.0
NEAR,2013-09-30,44.5496742528,0.0
NEAR,2013-10-01,44.5407660995,0.0
NEAR,2013-10-02,44.5229497931,0.0
NEAR,2013-10-03,44.5318579463,0.0
NEAR,2013-10-04,44.5318579463,0.0
NEAR,2013-10-07,44.5318579463,0.0
NEAR,2013-10-08,44.5229497931,0.0
NEAR,2013-10-09,44.5140416399,0.0
NEAR,2013-10-10,44.5229497931,0.0
NEAR,2013-10-11,44.5496742528,0.0
NEAR,2013-10-14,44.5407660995,0.0
NEAR,2013-10-15,44.5407660995,0.0
NEAR,2013-10-16,44.5407660995,0.0
NEAR,2013-10-17,44.5496742528,0.0
NEAR,2013-10-18,44.558582406,0.0
NEAR,2013-10-21,44.5763096309,0.0
NEAR,2013-10-22,44.5763987124,0.0
NEAR,2013-10-23,44.5674905592,0.0
NEAR,2013-10-24,44.5853068656,0.0
NEAR,2013-10-25,44.5942150189,0.0
NEAR,2013-10-28,44.6030340905,0.0
NEAR,2013-10-29,44.6120313253,0.0
NEAR,2013-10-30,44.6120313253,0.0
NEAR,2013-10-31,44.6209394785,0.0
NEAR,2013-11-01,44.6605807603,0.0345
NEAR,2013-11-04,44.6338378976,0.0
NEAR,2013-11-05,44.6516664728,0.0
NEAR,2013-11-06,44.6516664728,0.0
NEAR,2013-11-07,44.6694950479,0.0
NEAR,2013-11-08,44.669405905,0.0
NEAR,2013-11-11,44.6605807603,0.0
NEAR,2013-11-12,44.6605807603,0.0
NEAR,2013-11-13,44.6605807603,0.0
NEAR,2013-11-14,44.6694950479,0.0
NEAR,2013-11-15,44.6784093355,0.0
NEAR,2013-11-18,44.6873236231,0.0
NEAR,2013-11-19,44.6873236231,0.0
NEAR,2013-11-20,44.6962379106,0.0
NEAR,2013-11-21,44.6873236231,0.0
NEAR,2013-11-22,44.7051521982,0.0
NEAR,2013-11-25,44.7229807734,0.0
NEAR,2013-11-26,44.7140664858,0.0
NEAR,2013-11-27,44.7229807734,0.0
NEAR,2013-11-29,44.7229807734,0.0
NEAR,2013-12-02,44.7180779152,0.0345
NEAR,2013-12-03,44.7180779152,0.0
NEAR,2013-12-04,44.7269983377,0.0
NEAR,2013-12-05,44.7269983377,0.0
NEAR,2013-12-06,44.7359187602,0.0
NEAR,2013-12-09,44.7225381265,0.0
NEAR,2013-12-10,44.7448391827,0.0
NEAR,2013-12-11,44.7448391827,0.0
NEAR,2013-12-12,44.7359187602,0.0
NEAR,2013-12-13,44.7269983377,0.0
