ticker,date,adj_close,dividend
RING,2012-02-02,46.3475286079,0.0
RING,2012-02-03,45.6563174277,0.0
RING,2012-02-06,45.4580489576,0.0
RING,2012-02-07,45.8200253388,0.0
RING,2012-02-08,45.3834709092,0.0
RING,2012-02-09,45.4562299808,0.0
RING,2012-02-10,44.9832960155,0.0
RING,2012-02-13,44.8377778723,0.0
RING,2012-02-14,44.0192383168,0.0
RING,2012-02-15,44.5649313538,0.0
RING,2012-02-16,45.0560550871,0.0
RING,2012-02-17,44.5649313538,0.0
RING,2012-02-21,45.7290764993,0.0
RING,2012-02-22,46.0201127857,0.0
RING,2012-02-23,47.2206374671,0.0
RING,2012-02-24,46.3839081437,0.0
RING,2012-02-27,45.9837332499,0.0
RING,2012-02-28,46.5294262869,0.0
RING,2012-02-29,44.7286392649,0.0
RING,2012-03-01,45.3470913734,0.0
RING,2012-03-02,44.7759326614,0.0
RING,2012-03-05,43.6554429588,0.0
RING,2012-03-06,42.2271823833,0.0
RING,2012-03-07,42.6186261885,0.0
RING,2012-03-08,43.3644066724,0.0
RING,2012-03-09,43.2188885292,0.0
RING,2012-03-12,43.0646392974,0.0
RING,2012-03-13,42.0911229194,0.0
RING,2012-03-14,40.7087005591,0.0
RING,2012-03-15,41.0361163813,0.0
RING,2012-03-16,41.1361601047,0.0
RING,2012-03-19,40.726890327,0.0
RING,2012-03-20,40.4358540406,0.0
RING,2012-03-21,40.5268028801,0.0
RING,2012-03-22,39.88652305,0.0
RING,2012-03-23,39.5627451814,0.0
RING,2012-03-26,41.2834972247,0.0
RING,2012-03-27,40.8724084702,0.0
RING,2012-03-28,40.1448177542,0.0
RING,2012-03-29,39.7446428604,0.0
RING,2012-03-30,40.0356791468,0.0
RING,2012-04-02,41.1634447566,0.0
RING,2012-04-03,39.6173144851,0.0
RING,2012-04-04,38.0348046778,0.0
RING,2012-04-05,38.0348046778,0.0
RING,2012-04-09,38.0711842136,0.0
RING,2012-04-10,38.3986000358,0.0
RING,2012-04-11,38.1257535173,0.0
RING,2012-04-12,39.3080884308,0.0
RING,2012-04-13,38.7987749296,0.0
RING,2012-04-16,38.1985125889,0.0
RING,2012-04-17,38.4531693395,0.0
RING,2012-04-18,38.1257535173,0.0
RING,2012-04-19,38.1255716197,0.0
RING,2012-04-20,37.9256660705,0.0
RING,2012-04-23,37.0525572113,0.0
RING,2012-04-24,36.7251413891,0.0
RING,2012-04-25,37.9256660705,0.0
RING,2012-04-26,37.7255786236,0.0
RING,2012-04-27,38.2348921247,0.0
RING,2012-04-30,38.0166149099,0.0
RING,2012-05-01,38.1255716197,0.0
RING,2012-05-02,37.4343604395,0.0
RING,2012-05-03,35.833842762,0.0
RING,2012-05-04,35.7974632262,0.0
RING,2012-05-07,35.7792734583,0.0
RING,2012-05-08,33.9057273647,0.0
RING,2012-05-09,34.1985826278,0.0
RING,2012-05-10,34.510173352,0.0
RING,2012-05-11,34.1603841153,0.0
RING,2012-05-14,33.123567345,0.0
RING,2012-05-15,32.3232175574,0.0
RING,2012-05-16,32.2504584858,0.0
RING,2012-05-17,33.5965013104,0.0
RING,2012-05-18,33.8693478289,0.0
RING,2012-05-21,34.5460071947,0.0
RING,2012-05-22,33.8329682931,0.0
RING,2012-05-23,35.277963455,0.0
RING,2012-05-24,35.3245292608,0.0
RING,2012-05-25,35.9066018336,0.0
RING,2012-05-29,35.6335734174,0.0
RING,2012-05-30,35.3245292608,0.0
RING,2012-05-31,35.0516827423,0.0
RING,2012-06-01,37.4345423372,0.0
RING,2012-06-04,36.9388711619,0.0
RING,2012-06-05,37.7619581594,0.0
RING,2012-06-06,37.998425142,0.0
RING,2012-06-07,36.7979004607,0.0
RING,2012-06-08,36.6978567372,0.0
RING,2012-06-11,36.4704846385,0.0
RING,2012-06-12,37.0889367471,0.0
RING,2012-06-13,37.0889367471,0.0
RING,2012-06-14,37.1435060508,0.0
RING,2012-06-15,37.2708344261,0.0
RING,2012-06-18,37.7583202058,0.0
RING,2012-06-19,37.9258479681,0.0
RING,2012-06-20,37.3799730335,0.0
RING,2012-06-21,35.715350976,0.0849
RING,2012-06-22,35.0037842647,0.0
RING,2012-06-25,35.6605448108,0.0
RING,2012-06-26,34.9846021069,0.0
RING,2012-06-27,35.0576769938,0.0
RING,2012-06-28,33.4898552952,0.0
RING,2012-06-29,35.2951703762,0.0
RING,2012-07-02,35.4047827066,0.0
RING,2012-07-03,36.4826372885,0.0
RING,2012-07-05,36.3547562364,0.0
RING,2012-07-06,35.112483159,0.0
